test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_mcc,rep,train_dataset,val_dataset,analysis,cv,n_clients
0.68,0.6655844155844155,0.7467532467532467,0.7966071428571428,0.7333333333333333,,0.7857142857142857,0.3424747597107866,0,China1,China1,count_taxa_0,1,1
0.8333333333333334,0.8285714285714285,0.9142857142857144,0.8988095238095238,0.8571428571428571,,0.8571428571428571,0.6571428571428571,0,China1,China1,count_taxa_0,2,1
0.7916666666666666,0.7785714285714285,0.8642857142857143,0.8702380952380953,0.8275862068965517,,0.8571428571428571,0.5673665146135802,0,China1,China1,count_taxa_0,3,1
0.9166666666666666,0.916083916083916,0.951048951048951,0.9439102564102565,0.9230769230769231,,0.9230769230769231,0.8321678321678322,0,China1,China1,count_taxa_0,4,1
0.9473684210526315,0.9473684210526315,0.9889196675900277,0.9605263157894736,0.9473684210526315,,0.9473684210526315,0.8947368421052632,0,China3,China3,count_taxa_0,0,1
0.9473684210526315,0.9473684210526316,0.9750692520775623,0.9736842105263158,0.9444444444444444,,0.8947368421052632,0.8997354108424374,0,China3,China3,count_taxa_0,1,1
0.9473684210526315,0.9473684210526316,0.997229916897507,0.9736842105263158,0.9444444444444444,,0.8947368421052632,0.8997354108424374,0,China3,China3,count_taxa_0,2,1
0.8947368421052632,0.8944444444444444,0.9638888888888889,0.9263157894736842,0.9,,0.9,0.7888888888888889,0,China3,China3,count_taxa_0,3,1
0.8108108108108109,0.8084795321637427,0.9005847953216374,0.860759084443295,0.8292682926829268,,0.8947368421052632,0.6280763381828277,0,China3,China3,count_taxa_0,4,1
0.9310344827586207,0.9302884615384616,0.9086538461538461,0.940318302387268,0.9230769230769231,,0.9230769230769231,0.8605769230769231,0,China5,China5,count_taxa_0,0,1
0.896551724137931,0.8928571428571428,0.9904761904761905,0.9445812807881774,0.88,,0.7857142857142857,0.809173593712687,0,China5,China5,count_taxa_0,1,1
0.896551724137931,0.8952380952380952,0.9666666666666668,0.9245926487305798,0.8888888888888888,,0.8571428571428571,0.7942674649391135,0,China5,China5,count_taxa_0,2,1
0.6785714285714286,0.6846153846153846,0.8666666666666667,0.7506868131868132,0.6896551724137931,,0.7692307692307693,0.3721042037676254,0,China5,China5,count_taxa_0,3,1
0.9285714285714286,0.9282051282051282,0.9538461538461538,0.940934065934066,0.9230769230769231,,0.9230769230769231,0.8564102564102564,0,China5,China5,count_taxa_0,4,1
0.6818181818181818,0.675,0.6916666666666668,0.7242424242424241,0.631578947368421,,0.6,0.3544587784792833,0,France1,France1,count_taxa_0,0,1
0.8181818181818182,0.8083333333333333,0.8916666666666666,0.8556818181818182,0.7777777777777778,,0.7,0.6383106423916777,0,France1,France1,count_taxa_0,1,1
0.6363636363636364,0.6166666666666667,0.5916666666666667,0.6696969696969697,0.5,,0.4,0.2608745973749754,0,France1,France1,count_taxa_0,2,1
0.7619047619047619,0.75,0.7727272727272727,0.8690476190476191,0.6666666666666666,,0.5,0.5863019699779286,0,France1,France1,count_taxa_0,3,1
0.8571428571428571,0.85,0.8999999999999999,0.9214285714285715,0.8235294117647058,,0.7,0.7416198487095663,0,France1,France1,count_taxa_0,4,1
0.75,0.5833333333333333,0.7083333333333333,0.46875,0.3333333333333333,,0.25,0.2182178902359924,0,Germany1,Germany1,count_taxa_0,0,1
0.75,0.5833333333333333,0.8333333333333333,0.46875,0.3333333333333333,,0.25,0.2182178902359924,0,Germany1,Germany1,count_taxa_0,1,1
0.875,0.75,0.8958333333333333,0.8125,0.6666666666666666,,0.5,0.6546536707079772,0,Germany1,Germany1,count_taxa_0,2,1
0.8125,0.7,0.8181818181818181,0.79375,0.5714285714285714,,0.4,0.5606119105813882,0,Germany1,Germany1,count_taxa_0,3,1
