test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_mcc,rep,train_dataset,val_dataset,analysis,cv,n_clients
0.8125,0.625,0.6041666666666666,0.71875,0.4,,0.25,0.4472135954999579,0,Germany1,Germany1,count_taxa_metaphlan4_0,1,1
0.75,0.5833333333333333,0.7916666666666667,0.46875,0.3333333333333333,,0.25,0.2182178902359924,0,Germany1,Germany1,count_taxa_metaphlan4_0,2,1
0.75,0.6,0.7454545454545455,0.7250000000000001,0.3333333333333333,,0.2,0.38297084310253526,0,Germany1,Germany1,count_taxa_metaphlan4_0,3,1
0.8666666666666667,0.75,0.7272727272727273,0.8166666666666667,0.6666666666666666,,0.5,0.6504436355879909,0,Germany1,Germany1,count_taxa_metaphlan4_0,4,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_metaphlan4_0,0,1
0.875,0.5,0.5714285714285714,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_metaphlan4_0,1,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_metaphlan4_0,2,1
0.875,0.5,0.7142857142857143,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_metaphlan4_0,3,1
0.875,0.5,1.0,0.9375,0.9333333333333333,,1.0,0.0,0,Germany2,Germany2,count_taxa_metaphlan4_0,4,1
0.65,0.6515151515151515,0.7474747474747474,0.7681818181818182,0.6666666666666666,,0.6363636363636364,0.30151134457776363,0,Italy1,Italy1,count_taxa_metaphlan4_0,0,1
0.65,0.6414141414141414,0.7171717171717171,0.771969696969697,0.6956521739130435,,0.7272727272727273,0.28721347895177635,0,Italy1,Italy1,count_taxa_metaphlan4_0,1,1
0.65,0.6313131313131313,0.7171717171717172,0.7805194805194805,0.72,,0.8181818181818182,0.28511240114923325,0,Italy1,Italy1,count_taxa_metaphlan4_0,2,1
0.65,0.6616161616161615,0.7474747474747474,0.7727272727272727,0.631578947368421,,0.5454545454545454,0.32824397594488725,0,Italy1,Italy1,count_taxa_metaphlan4_0,3,1
0.5,0.47474747474747475,0.41414141414141414,0.7053030303030302,0.6153846153846154,,0.7272727272727273,-0.058025885318565944,0,Italy1,Italy1,count_taxa_metaphlan4_0,4,1
0.7,0.6936339522546419,0.7543103448275862,0.7543151969981238,0.6451612903225806,,0.5769230769230769,0.3998625216498338,0,Japan1,Japan1,count_taxa_metaphlan4_0,0,1
0.6238532110091743,0.612237998647735,0.682555780933063,0.6722432092102897,0.5176470588235295,,0.43137254901960786,0.24176804813639696,0,Japan1,Japan1,count_taxa_metaphlan4_0,1,1
0.6605504587155964,0.6550033806626099,0.6883029073698446,0.7147766112283112,0.6105263157894737,,0.5686274509803921,0.31527333026209925,0,Japan1,Japan1,count_taxa_metaphlan4_0,2,1
0.6788990825688074,0.6639621365787695,0.7538877620013523,0.7415709403027266,0.5569620253164557,,0.43137254901960786,0.3744993983524133,0,Japan1,Japan1,count_taxa_metaphlan4_0,3,1
0.6422018348623854,0.6384952766531714,0.7007422402159245,0.7065729632243394,0.5979381443298969,,0.5576923076923077,0.2810009664527836,0,Japan1,Japan1,count_taxa_metaphlan4_0,4,1
0.55,0.55,0.7300000000000001,0.6333333333333333,0.3076923076923077,,0.2,0.140028008402801,0,USA1,USA1,count_taxa_metaphlan4_0,0,1
0.75,0.75,0.7100000000000001,0.8211538461538461,0.782608695652174,,0.9,0.5241424183609591,0,USA1,USA1,count_taxa_metaphlan4_0,1,1
0.65,0.6313131313131313,0.696969696969697,0.6805555555555556,0.5333333333333333,,0.4444444444444444,0.28511240114923325,0,USA1,USA1,count_taxa_metaphlan4_0,2,1
0.55,0.5505050505050505,0.5555555555555556,0.6277777777777778,0.5263157894736842,,0.5555555555555556,0.10050378152592121,0,USA1,USA1,count_taxa_metaphlan4_0,3,1
0.6842105263157895,0.6833333333333333,0.6555555555555556,0.7456140350877192,0.6666666666666666,,0.6666666666666666,0.36666666666666664,0,USA1,USA1,count_taxa_metaphlan4_0,4,1
0.8333333333333334,0.8333333333333333,0.888888888888889,0.9166666666666666,0.8,,0.6666666666666666,0.7071067811865476,0,USA2,USA2,count_taxa_metaphlan4_0,0,1
0.6666666666666666,0.6666666666666666,0.6666666666666667,0.8,0.75,,1.0,0.4472135954999579,0,USA2,USA2,count_taxa_metaphlan4_0,1,1
0.4,0.41666666666666663,0.5,0.6166666666666667,0.4,,0.3333333333333333,-0.16666666666666666,0,USA2,USA2,count_taxa_metaphlan4_0,2,1
1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0,USA2,USA2,count_taxa_metaphlan4_0,3,1
0.8,0.8333333333333333,0.8333333333333334,0.8333333333333333,0.8,,1.0,0.6666666666666666,0,USA2,USA2,count_taxa_metaphlan4_0,4,1
